vendor_id,vendor_name,category,country,criticality,contract_start,contract_end,compliance_status,account_manager,business_owner,annual_contract_value,annual_spend,owner,contract_file,security_rating,total_spend,paid_spend,pending_invoice_amount,overdue_invoice_amount,invoice_count,duplicate_invoice_count,po_mismatch_count,average_resolution_hours,max_resolution_hours,ticket_count,critical_ticket_count,sla_breach_count,open_ticket_count,sla_breach_rate,contract_end_date,days_until_contract_end,renewal_within_90_days,compliance_missing_flag,criticality_score,high_risk_vendor,pending_invoice_exposure,days_to_renewal,missing_compliance,avg_response_hours,max_days_late,late_invoice_count,total_invoice_amount,risk_score_rule,risk_level_rule,risk_target
V001,DataBridge Solutions,Data Processing,USA,High,2024-08-01,2026-07-20,Missing SOC2,Priya Shah,Data Engineering,820000,820000,Data Engineering,databridge_solutions_contract.txt,64,569927,199927,370000,0,5,2,2,14.75,30,4,1,2,1,0.5,2026-07-20,32,1,1,3,1,370000,32,True,14.75,0,0,569927,100.0,High,1
V002,CloudNova Systems,Cloud Infrastructure,USA,High,2024-08-01,2027-08-31,Complete,Maya Chen,Infrastructure,1850000,1850000,Infrastructure,cloudnova_systems_contract.txt,88,802789,602850,199939,0,5,0,0,9.0,14,4,0,1,0,0.25,2027-08-31,439,0,0,3,0,199939,439,False,9.0,0,0,802789,53.99,Medium,0
V003,Supportly India,Customer Support,India,Low,2025-01-01,2027-01-01,Complete,Arjun Mehta,Customer Operations,300000,300000,Customer Operations,supportly_india_contract.txt,88,129997,129997,0,0,5,0,0,8.25,11,4,0,0,0,0.0,2027-01-01,197,0,0,1,0,0,197,False,8.25,0,0,129997,3.6,Low,0
V004,SecurePay Gateway,Payments,USA,High,2024-05-01,2027-04-30,Complete,Daniel Ruiz,Finance,1320000,1320000,Finance,securepay_gateway_contract.txt,88,551617,435327,116290,0,5,0,0,6.25,9,4,0,1,0,0.25,2027-04-30,316,0,0,3,0,116290,316,False,6.25,0,0,551617,43.47,Medium,0
V005,MediaTech Studio,Marketing,UK,Low,2025-02-01,2026-07-10,Incomplete,Emma Clarke,Marketing,260000,260000,Marketing,mediatech_studio_contract.txt,72,160642,64971,47763,47908,5,0,1,15.75,24,4,1,2,1,0.5,2026-07-10,22,1,1,1,1,47763,22,True,15.75,0,1,160642,63.9,Medium,1
V006,InsightOps Analytics,Analytics,USA,Medium,2024-09-01,2026-12-31,Complete,Noah Wilson,Revenue Operations,540000,540000,Revenue Operations,insightops_analytics_contract.txt,88,212675,212675,0,0,5,0,0,5.5,11,4,0,0,0,0.0,2026-12-31,196,0,0,2,0,0,196,False,5.5,0,0,212675,10.48,Low,0
V007,CyberShield MDR,Cybersecurity,USA,High,2025-01-01,2027-01-01,Complete,Nina Patel,Security,960000,960000,Security,cybershield_mdr_contract.txt,88,399571,399571,0,0,5,0,0,6.25,13,4,0,0,0,0.0,2027-01-01,197,0,0,3,0,0,197,False,6.25,0,0,399571,19.52,Low,0
V008,CloudScale Backup,Cloud Infrastructure,Canada,Medium,2024-03-15,2026-09-01,Expired Insurance,Leo Martin,Infrastructure,610000,610000,Infrastructure,cloudscale_backup_contract.txt,67,272195,210568,61627,0,5,0,1,5.5,13,4,0,1,0,0.25,2026-09-01,75,1,1,2,1,61627,75,True,5.5,0,0,272195,65.48,Medium,1
V009,MarketPulse Ads,Marketing,USA,Low,2025-04-01,2027-03-31,Complete,Olivia Green,Marketing,340000,340000,Marketing,marketpulse_ads_contract.txt,88,147868,147868,0,0,5,0,0,4.25,7,4,0,0,0,0.0,2027-03-31,286,0,0,1,0,0,286,False,4.25,0,0,147868,4.08,Low,0
V010,LedgerFlow AP,Payments,USA,Medium,2024-11-01,2026-11-30,Complete,Ethan Brooks,Finance,470000,470000,Finance,ledgerflow_ap_contract.txt,88,206150,160940,45210,0,5,0,1,10.0,20,4,0,1,0,0.25,2026-11-30,165,0,0,2,0,45210,165,False,10.0,0,0,206150,30.16,Low,0
V011,DataCleanse Pro,Data Processing,India,Medium,2025-01-15,2026-08-10,Missing DPA,Ravi Iyer,Data Engineering,390000,390000,Data Engineering,datacleanse_pro_contract.txt,66,215038,86758,72290,55990,5,0,1,15.5,21,4,1,2,1,0.5,2026-08-10,53,1,1,2,1,72290,53,True,15.5,0,1,215038,71.91,High,1
V012,HelpDesk Hive,Customer Support,USA,Low,2024-12-01,2026-07-05,Complete,Sarah Miller,Customer Operations,305000,305000,Customer Operations,helpdesk_hive_contract.txt,88,123418,97480,25938,0,5,0,0,9.25,21,4,0,1,0,0.25,2026-07-05,17,1,0,1,0,25938,17,False,9.25,0,0,123418,26.25,Low,0
V013,PeoplePulse HR,Analytics,USA,Medium,2025-06-01,2027-05-31,Complete,Grace Lee,People Operations,425000,425000,People Operations,peoplepulse_hr_contract.txt,88,184951,184951,0,0,5,0,0,9.5,20,4,0,0,0,0.0,2027-05-31,347,0,0,2,0,0,347,False,9.5,0,0,184951,9.1,Low,0
V014,AdBeacon Network,Marketing,USA,Medium,2024-07-01,2026-08-18,Expired Insurance,Liam Turner,Marketing,510000,510000,Marketing,adbeacon_network_contract.txt,67,301242,141042,72766,87434,5,0,1,13.75,19,4,1,2,1,0.5,2026-08-18,61,1,1,2,1,72766,61,True,13.75,0,1,301242,73.4,High,1
V015,FinTrust Audit,Data Processing,Ireland,High,2025-03-01,2027-02-28,Complete,Ava Murphy,Finance,690000,690000,Finance,fintrust_audit_contract.txt,88,284909,284909,0,0,5,0,0,4.25,11,4,0,0,0,0.0,2027-02-28,255,0,0,3,0,0,255,False,4.25,0,0,284909,16.28,Low,0
V016,InfraWatch Observability,Cloud Infrastructure,Germany,High,2024-10-01,2026-10-15,Complete,Jonas Weber,Infrastructure,880000,880000,Infrastructure,infrawatch_observability_contract.txt,88,361038,282498,78540,0,5,0,0,6.333333333333333,12,3,0,1,0,0.3333333333333333,2026-10-15,119,0,0,3,0,78540,119,False,6.333333333333333,0,0,361038,34.41,Low,0
V017,BrandLift Creative,Marketing,Australia,Low,2025-07-01,2027-06-30,Complete,Chloe Evans,Marketing,215000,215000,Marketing,brandlift_creative_contract.txt,88,93979,93979,0,0,5,0,0,6.666666666666667,8,3,0,0,0,0.0,2027-06-30,377,0,0,1,0,0,377,False,6.666666666666667,0,0,93979,2.58,Low,0
V018,PayRoute Connect,Payments,Singapore,High,2024-04-01,2026-07-28,Incomplete,Wei Tan,Finance,740000,740000,Finance,payroute_connect_contract.txt,72,458671,190935,138541,129195,5,0,1,16.666666666666668,29,3,1,2,1,0.6666666666666666,2026-07-28,40,1,1,3,1,138541,40,True,16.666666666666668,0,1,458671,86.73,High,1
V019,SafeHarbor GRC,Cybersecurity,USA,Medium,2025-02-15,2027-02-14,Complete,Mason Scott,Security,455000,455000,Security,safeharbor_grc_contract.txt,88,179752,179752,0,0,5,0,0,4.666666666666667,8,3,0,0,0,0.0,2027-02-14,241,0,0,2,0,0,241,False,4.666666666666667,0,0,179752,9.46,Low,0
V020,TicketNest CX,Customer Support,Mexico,Medium,2024-06-01,2026-08-01,Missing SOC2,Sofia Garcia,Customer Operations,380000,380000,Customer Operations,ticketnest_cx_contract.txt,64,228795,96885,61562,70348,5,0,1,18.333333333333332,29,3,1,2,1,0.6666666666666666,2026-08-01,44,1,1,2,1,61562,44,True,18.333333333333332,0,1,228795,70.72,High,1
V021,QueryForge BI,Analytics,USA,Medium,2025-05-01,2027-04-30,Complete,Henry Adams,Revenue Operations,575000,575000,Revenue Operations,queryforge_bi_contract.txt,88,178727,178727,0,0,4,0,0,9.666666666666666,11,3,0,0,0,0.0,2027-04-30,316,0,0,2,0,0,316,False,9.666666666666666,0,0,178727,10.9,Low,0
V022,ObjectVault Storage,Cloud Infrastructure,USA,High,2024-09-15,2026-12-15,Complete,Lily Foster,Infrastructure,990000,990000,Infrastructure,objectvault_storage_contract.txt,88,357220,263675,93545,0,4,0,0,7.0,13,3,0,1,0,0.3333333333333333,2026-12-15,180,0,0,3,0,93545,180,False,7.0,0,0,357220,37.23,Low,0
